Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Serp titulo,Serp metadescription,<h1>,1ª <h2>,2ª <h2>,NOVO paragrafo destaque,NOVO 1º Parágrafo,NOVO 2º Parágrafo
Ação de Indenização Portabilidade Bancária,acao-de-indenizacao-portabilidade-bancaria,65c413ba50d21de863daa711,6552987bfd4a5980b0cc5b42,65dbc642b1abbdab07d2863e,false,false,Sun Feb 25 2024 22:59:14 GMT+0000 (Coordinated Universal Time),Sun Feb 25 2024 22:59:14 GMT+0000 (Coordinated Universal Time),Sun Feb 25 2024 22:59:24 GMT+0000 (Coordinated Universal Time),Ação de Indenização Portabilidade Bancária,Problemas com portabilidade bancária? Explore suas opções de indenização com advogados especializados.,Ação de Indenização Portabilidade Bancária,Advogado Especializado em Indenizações por Portabilidade Bancária,Direitos a Indenizações por Falhas em Portabilidade Bancária,<p>Problemas com portabilidade bancária? Explore suas opções de indenização com advogados especializados.</p>,<p>Profissionais do direito podem orientar empregados sobre como buscar indenizações em casos de prejuízos relacionados a portabilidade bancária.</p>,"<p>Os clientes têm direito a indenizações por falhas em portabilidade bancária, que ocorrem quando há problemas na transferência de serviços financeiros entre bancos, conforme previsto na legislação consumerista, para compensar eventuais prejuízos sofridos.</p>"
Calcular Adicional Noturno,calcular-adicional-noturno,65c413ba50d21de863daa711,6552987bfd4a5980b0cc5b42,65dbc63ead5c4f22c21587af,false,false,Sun Feb 25 2024 22:59:10 GMT+0000 (Coordinated Universal Time),Sun Feb 25 2024 22:59:10 GMT+0000 (Coordinated Universal Time),Sun Feb 25 2024 22:59:24 GMT+0000 (Coordinated Universal Time),Calcular Adicional Noturno,Problemas com cálculo de adicional noturno? Fale com advogados especializados em remunerações.,Calcular Adicional Noturno,#REF!,Direitos Trabalhistas e o Adicional Noturno,<p>Problemas com cálculo de adicional noturno? Fale com advogados especializados em remunerações.</p>,"<p>Se você está buscando entender qual o valor da indenização por assédio moral no trabalho, um advogado especializado pode avaliar seu caso detalhadamente e orientar sobre as melhores ações a serem tomadas.</p>","<p>Trabalhadores que exercem suas funções no período noturno têm direito a um adicional específico sobre a hora trabalhada, conforme determinado pela legislação trabalhista.</p>"
Calcular Rescisão Trabalhista,calculo-rescisao,65c413ba50d21de863daa711,6552987bfd4a5980b0cc5b42,65dbc63e3ef4babfdce56b44,false,false,Sun Feb 25 2024 22:59:10 GMT+0000 (Coordinated Universal Time),Sun Feb 25 2024 22:59:10 GMT+0000 (Coordinated Universal Time),Sun Feb 25 2024 22:59:24 GMT+0000 (Coordinated Universal Time),Calcular Rescisão Trabalhista,Problemas com cálculo de rescisão trabalhista? Fale com advogados especializados em rescisões.,Calcular Rescisão Trabalhista,Advogado Especializado em Assédio Moral no Trabalho,Direitos Trabalhistas na Rescisão de Contrato,<p>Problemas com cálculo de rescisão trabalhista? Fale com advogados especializados em rescisões.</p>,<p>Dúvidas sobre o adicional noturno? Advogados especializados podem esclarecer suas questões e ajudar a garantir a remuneração correta pelo seu trabalho.</p>,"<p>Na rescisão de contrato, os trabalhadores têm direitos a aviso prévio, saldo de salário, férias proporcionais, 13º salário proporcional e, em alguns casos, indenização.</p>"
Como Calcular Acerto de Funcionário Não Registrado,trabalho-sem-carteira-assinada,65c413ba50d21de863daa711,6552987bfd4a5980b0cc5b42,65dbc64056a2fea202bea644,false,false,Sun Feb 25 2024 22:59:12 GMT+0000 (Coordinated Universal Time),Sun Feb 25 2024 22:59:12 GMT+0000 (Coordinated Universal Time),Sun Feb 25 2024 22:59:24 GMT+0000 (Coordinated Universal Time),Como Calcular Acerto de Funcionário Não Registrado,Funcionário não registrado? Aprenda a calcular o acerto com advogados especializados em direitos trabalhistas.,Como Calcular Acerto de Funcionário Não Registrado,Advogado Especializado em Direitos de Funcionários Não Registrados,Cálculo de Acertos para Funcionários Não Registrados,<p>Funcionário não registrado? Aprenda a calcular o acerto com advogados especializados em direitos trabalhistas.</p>,<p>Trabalhadores sem registro formal também têm direitos. Um advogado especializado pode oferecer orientação sobre como reivindicar esses direitos e buscar tratamento justo.</p>,"<p>Funcionários não registrados têm direito a cálculos de acertos trabalhistas proporcionais ao período trabalhado, incluindo salários, férias e décimo terceiro, mesmo na ausência de registro formal.</p>"
Como Calcular Indenização por Acidente de Trabalho,como-calcular-indenizacao-por-acidente-de-trabalho,65c413ba50d21de863daa711,6552987bfd4a5980b0cc5b42,65dbc63ec5e12591dede0383,false,false,Sun Feb 25 2024 22:59:10 GMT+0000 (Coordinated Universal Time),Sun Feb 25 2024 22:59:10 GMT+0000 (Coordinated Universal Time),Sun Feb 25 2024 22:59:24 GMT+0000 (Coordinated Universal Time),Como Calcular Indenização por Acidente de Trabalho,Problemas com cálculo de indenização por acidente de trabalho? Fale com advogados especializados em acidentes de trabalho.,Como Calcular Indenização por Acidente de Trabalho,Advogado Especializado em Rescisão Trabalhista,Direitos Trabalhistas em Indenizações por Acidente de Trabalho,<p>Problemas com cálculo de indenização por acidente de trabalho? Fale com advogados especializados em acidentes de trabalho.</p>,"<p>Problemas de saúde causados pelo trabalho, como hérnia de disco, podem ter consequências graves. Um advogado especializado pode ajudar a buscar indenização e suporte.</p>","<p>Trabalhadores vítimas de acidentes de trabalho têm direito a indenizações, suporte para recuperação e, quando aplicável, reabilitação para retorno ao trabalho.</p>"
Como Processar uma Empresa,processar,65c413ba50d21de863daa711,6552987bfd4a5980b0cc5b42,65dbc63f882147dc8c4206b2,false,false,Sun Feb 25 2024 22:59:11 GMT+0000 (Coordinated Universal Time),Sun Nov 02 2025 20:03:52 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 12:13:01 GMT+0000 (Coordinated Universal Time),Como Processar uma Empresa,Pensando em processar uma empresa? Fale com advogados especializados em ações trabalhistas.,Processar Empresa,Advogado Especializado em Processos Contra Empresas,Direitos Trabalhistas ao Processar uma Empresa,"<p id="""">Pensando em processar seu empregador? Fale com advogados especializados em ações trabalhistas.</p>","<p>Enfrentando problemas com seu empregador? Um advogado especializado pode representá-lo em processos contra empresas, defendendo seus direitos e interesses.</p>","<p>Ao processar uma empresa, os trabalhadores têm direito a uma representação justa e a buscar reparação por injustiças sofridas no ambiente de trabalho.</p>"
Cálculo Rescisão Empregada Doméstica Online Grátis,calculo-rescisao-empregada-domestica-online-gratis,65c413ba50d21de863daa711,6552987bfd4a5980b0cc5b42,65dbc641121420dd8b6fa5d7,false,false,Sun Feb 25 2024 22:59:13 GMT+0000 (Coordinated Universal Time),Sun Feb 25 2024 22:59:13 GMT+0000 (Coordinated Universal Time),Sun Feb 25 2024 22:59:24 GMT+0000 (Coordinated Universal Time),Cálculo Rescisão Empregada Doméstica Online Grátis,Calcule a rescisão de empregada doméstica online e grátis com a ajuda de advogados especializados.,Cálculo Rescisão Empregada Doméstica Online Grátis,Advogado Especializado em Cálculo para Empregadas Domésticas,Rescisão de Empregadas Domésticas,<p>Calcule a rescisão de empregada doméstica online e grátis com a ajuda de advogados especializados.</p>,"<p>Advogados especializados podem assegurar que as empregadas domésticas tenham seus direitos trabalhistas respeitados, incluindo jornada de trabalho, remuneração e benefícios sociais adequados.</p>","<p>Na rescisão do contrato de trabalho de empregadas domésticas, são garantidos direitos como aviso prévio, saldo de salário, férias proporcionais, décimo terceiro e recolhimento do FGTS, conforme estabelecido pela legislação trabalhista.</p>"
Danos Morais no Trabalho,danos-morais,65c413ba50d21de863daa711,6552987bfd4a5980b0cc5b42,65dbc6427cbf5ba118397395,false,false,Sun Feb 25 2024 22:59:14 GMT+0000 (Coordinated Universal Time),Sun Feb 25 2024 22:59:14 GMT+0000 (Coordinated Universal Time),Sun Feb 25 2024 22:59:24 GMT+0000 (Coordinated Universal Time),Danos Morais no Trabalho,Vítima de danos morais no trabalho? Saiba como proceder com orientação de advogados especializados.,Danos Morais no Trabalho,Advogado Especializado em Casos de Danos Morais no Trabalho,Legislação sobre Danos Morais no Ambiente de Trabalho,<p>Vítima de danos morais no trabalho? Saiba como proceder com orientação de advogados especializados.</p>,<p>Advogados especializados em danos morais podem ajudar trabalhadores que sofreram prejuízos emocionais ou à reputação no ambiente de trabalho a buscar compensação.</p>,"<p>A legislação trabalhista prevê medidas para proteger os trabalhadores contra danos morais no ambiente de trabalho, proibindo práticas abusivas e estabelecendo penalidades para casos de assédio moral, conforme determinado pela legislação específica.</p>"
Demissão por Justa Causa o que Recebe,justa-causa,65c413ba50d21de863daa711,6552987bfd4a5980b0cc5b42,65dbc63f585f7cf134f7574b,false,false,Sun Feb 25 2024 22:59:11 GMT+0000 (Coordinated Universal Time),Sun Nov 02 2025 19:55:37 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 12:13:01 GMT+0000 (Coordinated Universal Time),Demissão por Justa Causa o que Recebe,Foi demitido por justa causa? Descubra o que você tem direito a receber com advogados especializados.,Justa Causa,Advogado Especializado em Demissões por Justa Causa,Direitos Trabalhistas na Demissão por Justa Causa,<p>Foi demitido por justa causa? Descubra o que você tem direito a receber com advogados especializados.</p>,"<p>Se você foi demitido por justa causa e acredita que a decisão foi injusta, um advogado especializado pode analisar seu caso e ajudá-lo a contestar a demissão, defendendo seus direitos.</p>","<p>Na demissão por justa causa, os direitos trabalhistas podem variar, mas é essencial garantir que a demissão esteja de acordo com a legislação e que todos os direitos do trabalhador sejam respeitados.</p>"
Desvio de Função Clt,desvio-de-funcao,65c413ba50d21de863daa711,6552987bfd4a5980b0cc5b42,65dbc640fc4f675bc39c9378,false,false,Sun Feb 25 2024 22:59:12 GMT+0000 (Coordinated Universal Time),Sun Feb 25 2024 22:59:12 GMT+0000 (Coordinated Universal Time),Sun Feb 25 2024 22:59:24 GMT+0000 (Coordinated Universal Time),Desvio de Função Clt,Sofrendo desvio de função? Garanta seus direitos com advogados especializados em CLT.,Desvio de Função Clt,Advogado Especializado em Desvios de Função,Direitos Trabalhistas e Desvio de Função,<p>Sofrendo desvio de função? Garanta seus direitos com advogados especializados em CLT.</p>,"<p>Caso você esteja sendo submetido a desvios de função no trabalho, um advogado especializado pode ajudar a corrigir sua situação e garantir que seus direitos contratuais sejam respeitados.</p>","<p>Em casos de desvio de função, o trabalhador tem direito a diferenças salariais e possíveis indenizações, caso suas atribuições extrapolem as responsabilidades estabelecidas em seu contrato de trabalho.</p>"
Direitos da Gravida no Trabalho,gravida,65c413ba50d21de863daa711,6552987bfd4a5980b0cc5b42,65dbc63fbdbb9aca785e75a5,false,false,Sun Feb 25 2024 22:59:11 GMT+0000 (Coordinated Universal Time),Sun Nov 02 2025 19:59:06 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 12:13:01 GMT+0000 (Coordinated Universal Time),Direitos da Grávida no Trabalho,Conheça os direitos da grávida no trabalho. Fale com advogados especializados em maternidade trabalhista.,Direitos Trabalhista Grávidas,Advogado Especializado em Direitos da Gestante no Trabalho,Proteção Trabalhista para Gestantes,<p>Conheça os direitos da grávida no trabalho. Fale com advogados especializados em maternidade trabalhista.</p>,"<p>Durante a gravidez, os direitos trabalhistas são ampliados e específicos. Conte com o apoio de advogados especializados para garantir que seus direitos como gestante sejam respeitados no ambiente de trabalho.</p>","<p>A legislação trabalhista oferece proteção adicional para gestantes, assegurando um ambiente de trabalho seguro e condições adequadas durante a gravidez.</p>"
Direitos do Vigilante,vigilantes-segurancas,65c413ba50d21de863daa711,6552987bfd4a5980b0cc5b42,65dbc6428cd82161b0b09f52,false,false,Sun Feb 25 2024 22:59:14 GMT+0000 (Coordinated Universal Time),Sun Feb 25 2024 22:59:14 GMT+0000 (Coordinated Universal Time),Sun Feb 25 2024 22:59:24 GMT+0000 (Coordinated Universal Time),Direitos do Vigilante,Vigilante: conheça seus direitos trabalhistas e garantias com o auxílio de advogados especializados.,Direitos do Vigilante,Advogado Especializado em Direitos dos Vigilantes,Direitos Trabalhistas e Proteções para Vigilantes,<p>Vigilante: conheça seus direitos trabalhistas e garantias com o auxílio de advogados especializados.</p>,"<p>Advogados especializados podem ajudar vigilantes a entender e defender seus direitos trabalhistas, incluindo questões de segurança, remuneração e condições de trabalho.</p>","<p>Vigilantes têm direito a diversos benefícios trabalhistas e proteções legais, incluindo adicional noturno, horas extras, seguro de vida, entre outros, conforme estabelecido pela legislação trabalhista específica para a categoria.</p>"
Empregada Doméstica tem Direito a Acerto por Tempo de Serviço,empregada-domestica,65c413ba50d21de863daa711,6552987bfd4a5980b0cc5b42,65dbc6410147fd8795329500,false,true,Sun Feb 25 2024 22:59:13 GMT+0000 (Coordinated Universal Time),Wed May 28 2025 10:28:55 GMT+0000 (Coordinated Universal Time),Sun Feb 25 2024 22:59:24 GMT+0000 (Coordinated Universal Time),Empregada Doméstica tem Direito a Acerto por Tempo de Serviço,Empregada doméstica: entenda seu direito a acerto por tempo de serviço com advogados especializados.,Empregada Doméstica tem Direito a Acerto por Tempo de Serviço,Advogado Especializado em Acerto de Empregadas Domésticas,Acerto Trabalhista para Empregadas Domésticas,"<p id="""">Conheça aqui os Direitos da Empregada Doméstica, Diarista e Faxineira: Entenda seu direito a acerto por tempo de serviço com advogados especializados.</p>","<p id="""">Empregadas domésticas possuem direitos específicos assegurados por lei. Um advogado especializado pode ajudar a garantir que esses direitos sejam cumpridos, promovendo um ambiente de trabalho justo. Conheça os Direitos da Empregada Doméstica, Faxineira e Diarista aqui na Quero Direito. Seja atendida por um Advogado Especializado.</p>","<p>As empregadas domésticas têm direito a todos os acertos trabalhistas previstos na legislação, incluindo salário, férias, décimo terceiro e recolhimento do Fundo de Garantia por Tempo de Serviço (FGTS), em caso de rescisão do contrato de trabalho.</p>"
Empresa Não Abriu a CAT,empresa-nao-abriu-cat,65c413ba50d21de863daa711,6552987bfd4a5980b0cc5b42,6838dbcf372925ade9ac7137,false,true,Thu May 29 2025 22:12:31 GMT+0000 (Coordinated Universal Time),Thu May 29 2025 22:19:01 GMT+0000 (Coordinated Universal Time),,"Acidente de Trabalho: Saiba se Você Tem Direito a Auxílio, Estabilidade ou Aposentadoria","Sofreu acidente de trabalho? Você pode ter direito a auxílio, estabilidade ou até aposentadoria. Fale com advogados trabalhistas agora e receba orientação gratuita.","Sofreu Acidente no Trabalho? Descubra se Tem Direito a Auxílio, Estabilidade ou Aposentadoria",Especialistas em Direitos Trabalhistas Após Acidente no Trabalho,"Quem Tem Direito a Auxílio, Estabilidade ou Aposentadoria por Acidente de Trabalho?","<p id="""">Se você sofreu um acidente no trabalho ou durante o trajeto, pode ter direito a receber <strong id="""">auxílio-doença, estabilidade no emprego ou até aposentadoria por invalidez</strong>. Muitos trabalhadores deixam de buscar esses benefícios por falta de informação — e acabam perdendo valores importantes. <strong id="""">Nossa equipe analisa seu caso gratuitamente e te orienta com clareza e agilidade.</strong></p>","<p id="""">Situações como afastamento pelo INSS, sequelas permanentes ou demissão após o acidente exigem atenção redobrada. Com a ajuda de advogados especializados, você pode garantir seus direitos e obter o suporte necessário para enfrentar esse momento com segurança. <strong id="""">Aqui, cuidamos de tudo para que você tenha tranquilidade e apoio jurídico desde o início.</strong></p>","<p>Todo trabalhador com carteira assinada, que sofre um acidente durante o trabalho ou no trajeto pode ter direito a benefícios como <strong id="""">auxílio-doença acidentário</strong>, <strong id="""">estabilidade provisória no emprego</strong> por até 12 meses após o retorno, e em casos mais graves, <strong id="""">aposentadoria por invalidez</strong>. Mesmo quem foi demitido ou afastado há algum tempo pode ter direito a receber valores retroativos. <strong id="""">Cada situação é única — por isso, uma análise rápida com um advogado pode fazer toda a diferença. </strong>Caso o trabalhador<strong id=""""> não tenha carteira assinada, </strong>ele pode ter outros direitos inclusive<strong id="""">.</strong></p>"
